S. No,PlanPlatform,TypeofPlan,PlanEffDate,PlanTermDate,Benefits,City,State,Members,Claims
1,Medicare,HMO Commercial,1/1/2018,6/30/2019,Pharmacy,Avon,TX,65,70
2,Traditional,Medicare Part A,7/1/2019,5/30/2019,clinical,AA,PA,65,42
3,Traditional,HMO Commercial,6/15/2017,5/30/2019,Pharmacy,Avon,Ohio,85,70
4,Medicare,HMO Commercial,7/1/2019,6/30/2019,clinical,Avon,Ohio,52,42
5,Medicare,Medicare Part A,7/1/2019,12/31/9999,clinical,ZZ,CT,32,42
6,HMO,Medicaid,7/1/2019,12/31/9999,clinical,XX,CT,65,85
7,HMO,HNO,1/1/2018,5/30/2019,clinical,AA,Ohio,65,8
8,HMO,HMO Commercial,1/31/2017,5/31/2019,clinical,AA,Ohio,86,8
9,Medicare,Medicare Part D,7/1/2019,12/31/9999,Dental,ZZ,Ohio,85,85
10,HMO,Medicaid,7/1/2019,12/31/9999,Pharmacy,YY,Ohio,85,120
11,HMO,Medicaid,6/15/2017,5/30/2019,Dental,AA,Ohio,52,120
12,Medicare,HMO Medical,7/1/2019,12/31/9999,Pharmacy,XX,CT,52,16
13,Traditional,HNO,7/1/2019,12/31/9999,Pharmacy,AA,TX,86,42
14,Traditional,HMO Medical,5/31/2019,1/31/2019,Pharmacy,AA,Ohio,32,85
15,Medicare,Medicare Part B,1/1/2017,12/31/9999,clinical,Avon,Ohio,12,120
16,Medicare,Medicare Part B,6/15/2017,12/31/9999,Pharmacy,AA,CT,32,120
17,Medicaid,POS,7/1/2019,12/31/9999,Pharmacy,AA,Ohio,150,45
18,Medicare,Medicare Part B,5/31/2019,12/31/9999,Pharmacy,ZZ,PA,32,42
19,Traditional,PPO,7/1/2019,12/31/2017,Pharmacy,ZZ,PA,12,8
20,Medicaid,Medicare Part A,7/1/2019,12/31/9999,Pharmacy,Avon,CT,32,85
21,Traditional,Medicare Part A,6/15/2017,12/31/9999,Pharmacy,XX,PA,32,52
22,HMO,Medicare Part A,1/1/2017,12/31/9999,clinical,AA,PA,86,16
23,HMO,Medicare Advantage / Part C,1/1/2017,1/31/2019,Pharmacy,YY,CT,83,45
24,Medicare,EPOs,1/31/2017,12/31/2017,clinical,AA,PA,85,42
25,HMO,PPO,5/31/2019,5/31/2019,Pharmacy,AA,PA,83,45
26,Medicare,Medicare Part A,1/31/2017,1/31/2019,Dental,XX,Ohio,65,85
27,Traditional,HNO,7/1/2019,12/31/9999,clinical,Avon,PA,83,52
28,Medicare,Medicaid,1/1/2018,6/30/2019,Pharmacy,YY,Ohio,52,8
29,Medicaid,Medicare Part B,7/1/2019,5/31/2019,Pharmacy,ZZ,Ohio,65,52
30,Medicaid,Medicare Part D,5/31/2019,5/30/2019,Dental,YY,Ohio,47,31
31,Traditional,Medicaid,5/31/2019,12/31/9999,clinical,AA,TX,47,70
32,HMO,Medicare Part D,5/31/2019,6/30/2019,Pharmacy,Avon,Ohio,150,8
33,Medicare,Medicare Part A,1/1/2017,12/31/9999,Pharmacy,AA,Ohio,65,45
34,Medicare,POS,1/31/2017,5/31/2019,Pharmacy,ZZ,PA,32,70
35,Traditional,POS,5/31/2019,5/31/2019,Dental,XX,Ohio,65,70
36,Medicaid,HMO Commercial,5/31/2019,12/31/9999,Dental,AA,CT,65,45
37,Traditional,Medicare Part A,7/1/2019,12/31/9999,Dental,AA,Ohio,83,16
38,Medicare,EPOs,5/31/2019,12/31/9999,clinical,YY,Ohio,12,8
39,Medicare,Medicare Advantage / Part C,1/1/2017,12/31/9999,Pharmacy,AA,PA,32,70
40,Traditional,Medicare Part D,5/31/2019,12/31/9999,clinical,YY,PA,86,70
41,Traditional,PPO,7/1/2019,12/31/9999,Dental,AA,CT,65,45
42,Traditional,HMO Commercial,1/1/2017,12/31/9999,Dental,Avon,Ohio,85,85
43,Medicare,Medicare Part D,5/31/2019,12/31/9999,Pharmacy,AA,TX,86,70
44,HMO,Medicare Part A,7/1/2019,12/31/2017,Pharmacy,AA,CT,12,8
45,Medicare,POS,5/31/2019,12/31/9999,Pharmacy,YY,PA,83,70
46,HMO,HMO Medical,7/1/2019,5/31/2019,clinical,Avon,CT,32,45
47,Traditional,HNO,7/1/2019,5/31/2019,clinical,Avon,PA,83,120
48,Medicaid,Medicare Part B,5/31/2019,12/31/9999,Pharmacy,Avon,CT,32,16
49,Medicare,Medicare Part D,5/31/2019,12/31/9999,Dental,YY,CT,32,42
50,Traditional,HMO Medical,7/1/2019,12/31/9999,clinical,YY,PA,52,52
51,HMO,POS,1/1/2017,12/31/2017,Dental,ZZ,CT,65,42
52,Medicare,HNO,1/1/2017,5/31/2019,Pharmacy,YY,Ohio,52,42
53,HMO,Medicare Part D,1/1/2018,5/30/2019,Pharmacy,XX,Ohio,12,8
54,HMO,Medicare Part B,1/31/2017,12/31/9999,Pharmacy,AA,Ohio,83,31
55,HMO,Medicare Part B,1/31/2017,5/31/2019,Dental,AA,Ohio,65,8
56,Medicare,Medicaid,1/1/2017,12/31/9999,Pharmacy,YY,Ohio,85,120
